position_x,position_y,position_z,
0.2063308461883936,0.3629970046814833,0.4714031750054496,
0.08968017351542434,0.8178626361458579,0.21284065221963344,
0.7779735067071262,0.9705086405651329,0.876047909809301,
0.581652784005825,0.3253970675077048,0.452631226786945,
0.9571626762885915,0.6403447737299875,0.0672191261394205,
0.2715054401316995,0.8024552204914713,0.6132761360142239,
0.13295512777758178,0.046483121259182525,0.2536221715491742,
0.9440592575784917,0.9448359575342816,0.3991784064666184,
0.1189045764102572,0.4319048240918545,0.6091772976741743,
0.1683065568124389,0.6864071306810616,0.017462633626514568,
